News_1,News_frequency,Trad_News_print,Trad_News_online,Trad_News_TV,Trad_News_radio,SM_News_1,SM_News_2,SM_News_3,SM_News_4,SM_News_5,SM_News_6,SM_Sharing,Cluster,News_1_normalized,News_frequency_normalized,Trad_News_print_normalized,Trad_News_online_normalized,Trad_News_TV_normalized,Trad_News_radio_normalized,SM_News_1_normalized,SM_News_2_normalized,SM_News_3_normalized,SM_News_4_normalized,SM_News_5_normalized,SM_News_6_normalized,SM_Sharing_normalized,Cluster_Description
-6.793079534965942,-3.1585904658961055,-0.8993664362145048,-0.3072080748618015,-5.369940135805196,0.4967141530112327,3.0,2.0,4.0,1.0,4.0,2.0,0.0,0.0,0.4523627788506722,0.3528930085565133,0.12208633912668562,0.5586186942168068,0.23958351339522965,0.5914389038416901,0.75,0.5,1.0,0.25,1.0,0.5,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-9.44342228098706,9.42210008652484,6.297438580294703,-4.189804427602368,-7.181929321799989,0.6476885381006925,2.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,0.8042223442037612,0.7418257815144387,0.5036512713583136,0.7045540128282043,0.07479700297942454,0.7538268224914177,1.0,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,"Cluster 1: low Trad News Online, low News 1, high News Frequency (25.3% of samples)"
-2.56872297911455,5.773018788129251,3.615491194893812,1.7206015325475716,-8.12741037311612,1.5230298564080254,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.9037651249647215,0.9245115214910068,0.6452766584357886,0.7000416049636411,0.19472059134500197,0.47579801844484726,0.5,0.5,0.5,0.0,0.75,1.0,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-1.3736319828721513,9.968287891691526,5.291270087533899,1.6579004393003864,-6.120657970658003,-0.2341533747233359,2.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.38158410200205306,0.07207232219120341,0.7375945970190937,0.7859611483805221,0.797596732334101,0.4758006161330295,0.5,0.75,1.0,0.0,0.0,0.0,1.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-7.642834371842161,-9.607470106423309,6.383619814389839,2.8517750767959247,3.9676254171481062,-0.2341369569491805,2.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,0.8397154810779557,0.8420412093808358,0.5467969962894372,0.6465021874893833,0.14561886134562896,0.7627163228289193,0.0,0.25,0.5,0.5,0.25,1.0,0.6666666666666666,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-2.1425993769559017,8.074406341870969,4.1260119188914075,0.9139561620517804,-6.942306288424442,1.5792128155073917,0.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,0.4914438764502037,0.12541706093923222,1.0,0.6799542961914542,0.8646275446580272,0.21011961495259351,0.75,0.0,0.25,0.5,1.0,0.0,1.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-6.323879583875287,-8.382439984554402,9.488525260399786,1.378782004484033,5.089291684002147,-1.913280244657798,3.0,0.0,1.0,2.0,4.0,0.0,3.0,2.0,0.2883688222470462,0.08167054402393065,0.8248754048956707,0.7377707356898147,0.7477658890418382,0.4771234738044271,0.0,1.0,1.0,0.5,0.5,0.0,0.0,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-5.966524967042697,-9.641506707316356,8.816211484458226,1.7511766338216073,4.140084261572474,-1.7249178325130328,2.0,1.0,4.0,3.0,4.0,0.0,2.0,2.0,0.48117763656317636,0.3031853143069408,0.2856534322696811,0.5458285521838182,0.27102791242100277,0.5235313266397982,0.75,0.5,1.0,0.75,0.25,0.75,1.0,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-8.341418398549232,9.336193033873856,7.600302093066522,-6.1197248068025285,-8.067372242684707,-1.0128311203344238,3.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,0.5318930356251632,0.3763858190504824,0.14637020578023874,0.4564689538873416,0.30192659655850224,0.33073176664930354,0.75,0.0,0.0,0.5,1.0,0.0,0.6666666666666666,"Cluster 1: low Trad News Online, low News 1, high News Frequency (25.3% of samples)"
-9.806356009476325,8.5505631146208,5.996763927415374,-6.842850823776866,-7.148262563985691,0.3142473325952739,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,0.4834922592695321,0.34382484162036486,0.3201927862833087,0.478497378940527,0.42185318084800205,0.46669374213395476,0.0,1.0,0.25,1.0,0.75,0.0,0.3333333333333333,"Cluster 1: low Trad News Online, low News 1, high News Frequency (25.3% of samples)"
-2.9680818859216904,10.09296696162962,4.601370366727394,1.8005423839999124,-5.995967253664598,-0.9080240755212112,1.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.4954657080385164,0.14398690031883127,0.7788212006192564,0.6924388446895962,0.8250686802342557,0.417642223854513,1.0,0.75,0.5,0.75,0.0,0.0,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-0.5997809825826197,7.615718554379182,5.202848072918672,1.3225271148189048,-7.366752574915966,-1.4123037013352917,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.8062891436310433,0.8320780397221446,0.6868090978687412,0.7768449220972999,0.19663666091886867,0.5107111478209241,0.25,1.0,0.0,0.0,0.0,0.5,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-7.077448013583273,-8.989601040289521,7.128614635146022,3.1560703317312404,4.755008278201772,1.465648768921554,2.0,2.0,3.0,4.0,0.0,3.0,3.0,2.0,0.7879425614543647,0.9484612494955289,0.3661836555321688,0.8012830218681947,0.2238306575601431,0.49454838466257034,0.5,1.0,0.25,0.0,0.5,0.75,0.0,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-8.761958638773585,-9.387052664376972,7.416367816639818,2.1821566268615764,3.1337764149949514,-0.2257763004865356,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,0.24939618003457353,0.8678565726055982,0.8240646573153982,0.2160197788108667,0.290681228202749,0.2789088654691154,0.0,0.75,0.0,0.25,0.0,1.0,0.0,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-6.447134035483521,-4.300098029219327,1.036037151205747,-0.4849304599664519,-4.843762390885963,0.0675282046879238,3.0,2.0,4.0,3.0,1.0,3.0,3.0,0.0,0.5885146077236054,0.3080797660840123,0.21115446192985501,0.5187670896666857,0.2298777293863689,0.398950004401889,0.5,0.75,1.0,0.0,0.25,0.25,0.3333333333333333,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-4.869713864213686,-3.4665193762947184,1.4571158217165978,-1.5981115971703124,-3.425516956615451,0.110922589709866,1.0,2.0,3.0,0.0,4.0,1.0,3.0,0.0,0.42196562293539186,0.2900314256295333,0.12579977215313448,0.4773130710493436,0.21029245403464802,0.5672154426434716,0.25,0.5,1.0,0.75,0.25,1.0,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-5.838254955288173,-2.61909207902785,-0.6120281841576949,-1.7266055641429503,-4.326716416271684,-1.1509935774223028,3.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.4474610740743835,0.10516803673083164,0.9088012649193395,0.7604289498503112,0.8076841767827972,0.5641246416504241,0.5,0.0,0.0,0.5,0.25,0.0,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-6.419345131708504,-3.3668355132547463,1.444723204009245,-1.4205148084301789,-2.319913881244898,-0.2916937497932768,0.0,4.0,1.0,4.0,3.0,0.0,1.0,0.0,0.6454208530751737,0.2989690897763597,0.26736056379085305,0.35295476536167497,0.16802486284278323,0.6601977297256106,0.0,0.75,1.0,0.25,1.0,0.5,0.3333333333333333,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-6.27559426692058,-7.955994694312601,6.871432582665623,1.5522580871046747,4.427329785572958,-0.6017066122293969,4.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.5058719781268313,0.33999073369872945,0.25640628238008595,0.4093889244550284,0.3233004289622823,0.38006226442766033,1.0,0.25,0.0,0.5,0.25,0.5,0.6666666666666666,"Cluster 2: high Trad News Tv, low News Frequency, high Trad News Online (25.3% of samples)"
-2.5439093927579934,7.845608090578791,5.782701650743122,2.7251027166275064,-6.088595244108223,-0.0134972247379339,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8049959073519599,0.8725637409123068,0.5135244362250654,0.6812220914905788,0.19450677026814406,0.437029803307491,1.0,1.0,0.75,0.25,0.25,0.75,0.6666666666666666,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-2.7641748404736055,10.518279116781011,1.9889090278350896,3.0646765358631938,-5.633541998653641,-0.1156482823882405,2.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.8265772800192623,0.797633771422082,0.47797630477784314,0.7368980852617293,0.1934953528868541,0.46553655396356375,0.75,0.5,0.0,0.25,0.75,1.0,0.0,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
-9.22985649587433,8.667240767524413,7.406774665932055,-5.0677100476442725,-4.514891822561577,-1.4785219903674274,0.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,0.38287623545396865,0.0,0.8917422671550937,0.7792947797041894,0.7923676447485047,0.430843875460612,0.75,0.25,0.5,0.25,1.0,0.5,0.3333333333333333,"Cluster 1: low Trad News Online, low News 1, high News Frequency (25.3% of samples)"
-5.158467526298879,-4.187699862171055,0.1545299257348952,-0.8609565940438008,-5.532352765738737,-0.7198442083947086,2.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.19623322449724467,0.8576851124142353,0.8027710319030171,0.11427431641090063,0.3095921251546302,0.43345665831016694,1.0,1.0,0.25,0.25,0.75,0.25,0.3333333333333333,"Cluster 0: low Trad News Print, high News 1 (49.4% of samples)"
